Specialized Occupation,Count
Data Analyst,27832
General ERP Analyst / Consultant,9931
Enterprise Architect,8212
Oracle Consultant / Analyst,8141
SAP Analyst / Admin,7734
Business Analyst (General),4326
Business Intelligence Analyst,3639
Financial Data Analyst,1155
Data Quality Analyst,1070
Healthcare Analyst,261
Marketing Analyst,153
Unknown,44
